Iteracja;Najlepszy_Koszt
0;3616
1;3562
2;3348
3;3331
4;3330
5;3159
6;3109
7;3027
8;2864
9;2864
10;2864
11;2815
12;2706
13;2609
14;2609
15;2609
16;2609
17;2609
18;2547
19;2547
20;2547
21;2446
22;2446
23;2446
24;2305
25;2305
26;2305
27;2305
28;2305
29;2305
30;2252
31;2252
32;2252
33;2167
34;2167
35;2167
36;2167
37;2105
38;2105
39;2105
40;2032
41;2025
42;2000
43;2000
44;2000
45;1965
46;1965
47;1965
48;1965
49;1965
50;1965
51;1965
52;1965
53;1965
54;1957
55;1957
56;1957
57;1957
58;1957
59;1957
60;1957
61;1954
62;1954
63;1954
64;1953
65;1944
66;1936
67;1935
68;1935
69;1923
70;1923
71;1923
72;1922
73;1922
74;1912
75;1912
76;1912
77;1912
78;1912
79;1912
80;1912
81;1912
82;1912
83;1912
84;1893
85;1860
86;1860
87;1860
88;1834
89;1834
90;1834
91;1834
92;1834
93;1834
94;1834
95;1834
96;1834
97;1834
98;1834
99;1834
100;1834
101;1834
102;1834
103;1834
104;1775
105;1775
106;1775
107;1775
108;1775
109;1775
110;1775
111;1775
112;1775
113;1775
114;1775
115;1775
116;1775
117;1775
118;1775
119;1775
120;1775
121;1775
122;1775
123;1775
124;1775
125;1775
126;1775
127;1775
128;1775
129;1775
130;1775
131;1775
132;1775
133;1775
134;1775
135;1775
136;1775
137;1775
138;1775
139;1775
140;1775
141;1775
142;1775
143;1775
144;1775
145;1775
146;1775
147;1775
148;1775
149;1775
150;1775
151;1775
152;1775
153;1775
154;1775
155;1775
156;1775
157;1775
158;1775
159;1775
160;1775
161;1775
162;1775
163;1775
164;1775
165;1775
166;1775
167;1775
168;1775
169;1775
170;1775
171;1775
172;1775
173;1775
174;1775
175;1775
176;1775
177;1775
178;1775
179;1775
180;1775
181;1775
182;1775
183;1775
184;1775
185;1775
186;1775
187;1775
188;1775
189;1775
190;1775
191;1775
192;1775
193;1775
194;1775
195;1775
196;1775
197;1775
198;1775
199;1775
